;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Tax Credit;160409;Credito D'imposta;;Crediti Tributari;CII.5-bis - crediti tributari;16.924,23;0;;Bilancio di Verifica;;16.924,23;160409
CVS;SP;;Tax Credit;160411;Iva su Acquisti;;N/A_Conti Infrannuali;N/A_conti infrannuali;2.334.868,45;0;;Bilancio di Verifica;;2.334.868,45;160411
CVS;SP;;Tax Credit;160413;I.N.A.I.L. C/Acconti;;TBD;TBD;1305,52;6119,97;;Bilancio di Verifica;;7.425,49;160413
CVS;SP;;Cash & Cash Equivalent;180201;Cassa;;Disponibilità Liquide;CIV.3 - danaro e valori in cassa;7566,21;6,87;;Bilancio di Verifica;;7.573,08;180201
CVS;SP;;Gross Debt;180203;Banca Pop. Emilia C/C 398;;Debiti Vs Banche;D.4 - debiti verso banche;0;0;;assente nel grezzo → 0 (nessuna attività);;0;180203
CVS;SP;;Cash & Cash Equivalent;180205;Banca Pop. Emilia C/C 392;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;9661,71;0;;Bilancio di Verifica;;9.661,71;180205
CVS;SP;;Cash & Cash Equivalent;180207;Banca Intesa C/C 5054;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;29.778,39;0;;Bilancio di Verifica;;29.778,39;180207
CVS;SP;;Cash & Cash Equivalent;180209;Banca Intesa C/C 655;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;30.939,31;0;;Bilancio di Verifica;;30.939,31;180209
CVS;SP;;Cash & Cash Equivalent;180211;Banca Intesa C/C 3830;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;5286,42;0;;Bilancio di Verifica;;5.286,42;180211
CVS;SP;;Cash & Cash Equivalent;180213;Banca Intesa C/C 5970;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;41.308,02;0;;Bilancio di Verifica;;41.308,02;180213
CVS;SP;;Cash & Cash Equivalent;180215;Banca Intesa C/C 5971;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;426.672,56;0;;Bilancio di Verifica;;426.672,56;180215
CVS;SP;;Cash & Cash Equivalent;180217;Banca C.Agricole C/C 8142;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;178.406,61;0;;Bilancio di Verifica;;178.406,61;180217
CVS;SP;;Cash & Cash Equivalent;180219;Banca Bpm C/C 1419;;Debiti Vs Banche;D.4 - debiti verso banche;77.656,77;0;;Bilancio di Verifica;;77.656,77;180219
CVS;SP;;Cash & Cash Equivalent;180221;Banca Bper-Carige C/C 8323;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;85.435,26;0;;Bilancio di Verifica;;85.435,26;180221
CVS;SP;;Cash & Cash Equivalent;180223;Banca Emilbanca C/C 0348;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;30.800,90;0;;Bilancio di Verifica;;30.800,90;180223
CVS;SP;;Cash & Cash Equivalent;180225;Banca MPS C/C;;Disponibilità Liquide;CIV.1 - depositi bancari e postali;77.231,71;0;;Bilancio di Verifica;;77.231,71;180225
